start_time_seconds,end_time_seconds,duration_seconds,denied_resources,requested_action,productive_action_available_for_whole_episode
42.000000,42.250000,0.250000,provisions,train:citizen,true
56.000000,61.700000,5.700000,provisions,train:citizen,true
70.000000,75.450000,5.450000,provisions,train:citizen,true
338.500000,342.300000,3.800000,lumen,train:quarrel,true
342.350000,350.000000,7.650000,lumen,train:quarrel,true
353.500000,366.300000,12.800000,lumen,train:quarrel,true
366.350000,371.900000,5.550000,lumen,train:quarrel,true
371.950000,377.300000,5.350000,lumen,train:quarrel,true
377.350000,383.550000,6.200000,lumen,train:quarrel,true
383.550000,393.750000,10.200000,lumen,build:formationYard,true
393.800000,404.000000,10.200000,lumen,train:quarrel,true
404.100000,417.000000,12.900000,lumen,train:quarrel,true
417.050000,428.000000,10.950000,lumen,train:quarrel,true
428.050000,437.450000,9.400000,lumen,train:quarrel,true
437.500000,441.000000,3.500000,lumen,train:quarrel,true
441.050000,452.000000,10.950000,lumen,train:quarrel,true
452.050000,459.300000,7.250000,lumen,train:quarrel,true
474.150000,480.200000,6.050000,lumen,build:formationYard,true
480.250000,488.900000,8.650000,lumen,train:quarrel,true
489.000000,499.900000,10.900000,lumen,train:quarrel,true
499.950000,512.900000,12.950000,lumen,train:quarrel,true
