tick,match_time_seconds,stock_provisions,stock_matter,stock_lumen,stock_aether,population_used,population_cap,completed_dwellings,citizen_count,pathfinder_count,vanguard_count,quarrel_count,army_count,trained_army_count,idle_citizens,home_provisions_remaining,home_matter_remaining,home_lumen_remaining,home_aether_remaining,useful_action_available
0,0.000000,180.000000,160.000000,40.000000,0.000000,4,10,0,4,0,0,0,0,0,4,infinity,1400.000000,550.000000,0.000000,true
200,10.000000,82.500000,162.000000,41.000000,0.000000,6,10,0,4,0,0,0,0,0,0,infinity,1397.410000,550.000000,0.000000,true
400,20.000000,55.000000,174.000000,42.000000,0.000000,7,10,0,5,0,0,0,0,0,0,infinity,1390.000000,540.375000,0.000000,true
600,30.000000,46.780000,129.400000,53.000000,0.000000,8,10,0,6,0,0,0,0,0,0,infinity,1381.600000,540.000000,0.000000,true
800,40.000000,49.280000,131.400000,54.000000,0.000000,8,18,1,6,0,0,0,0,0,0,infinity,1375.580000,540.000000,0.000000,true
1000,50.000000,11.780000,143.400000,55.000000,0.000000,9,18,1,7,0,0,0,0,0,0,infinity,1363.550000,535.435000,0.000000,true
1200,60.000000,44.280000,155.400000,56.000000,0.000000,9,18,1,8,0,0,0,0,0,0,infinity,1347.750000,520.760000,0.000000,true
1400,70.000000,36.780000,177.400000,77.000000,0.000000,10,18,1,9,0,0,0,0,0,1,infinity,1332.290000,517.415000,0.000000,true
1600,80.000000,19.280000,199.400000,78.000000,0.000000,11,18,1,9,0,0,0,0,0,0,infinity,1317.960000,505.545000,0.000000,true
1800,90.000000,11.780000,211.400000,89.000000,0.000000,12,18,1,10,0,0,0,0,0,0,infinity,1301.600000,499.340000,0.000000,true
2000,100.000000,64.280000,223.400000,100.000000,0.000000,12,18,1,11,0,0,0,0,0,0,infinity,1274.670000,490.000000,0.000000,true
2200,110.000000,106.780000,255.400000,111.000000,0.000000,12,18,1,11,0,0,0,0,0,0,infinity,1253.400000,476.865000,0.000000,true
2400,120.000000,149.280000,287.400000,122.000000,0.000000,12,18,1,12,0,0,0,0,0,0,infinity,1236.210000,460.265000,0.000000,true
2600,130.000000,208.580000,199.400000,122.735000,0.000000,12,18,1,12,0,0,0,0,0,0,infinity,1221.530000,454.380000,0.000000,true
2800,140.000000,161.080000,191.400000,113.735000,0.000000,14,18,1,12,0,0,0,0,0,0,infinity,1200.190000,440.265000,0.000000,true
3000,150.000000,188.580000,213.400000,124.735000,0.000000,15,18,1,12,1,0,0,0,1,0,infinity,1177.260000,431.905000,0.000000,true
3200,160.000000,206.720000,162.570000,135.735000,0.000000,16,18,1,12,1,1,0,1,2,0,infinity,1163.480000,412.455000,0.000000,true
3400,170.000000,204.220000,174.570000,146.735000,0.000000,17,26,2,12,2,1,0,1,3,0,infinity,1140.890000,410.155000,0.000000,true
3600,180.000000,211.720000,186.570000,147.735000,0.000000,18,26,2,12,2,2,0,2,4,0,infinity,1120.890000,388.275000,0.000000,true
3800,190.000000,229.220000,208.570000,148.735000,0.000000,19,26,2,12,3,2,0,2,5,0,infinity,1097.470000,380.265000,0.000000,true
4000,200.000000,291.720000,230.570000,169.735000,0.000000,19,26,2,12,3,2,0,2,5,0,infinity,1072.000000,369.650000,0.000000,true
4200,210.000000,309.220000,232.570000,170.735000,0.000000,20,26,2,12,3,3,0,3,6,0,infinity,1051.520000,350.265000,0.000000,true
4400,220.000000,316.720000,264.570000,191.735000,0.000000,21,26,2,12,4,3,0,3,7,0,infinity,1034.390000,348.285000,0.000000,true
4600,230.000000,334.220000,256.570000,192.735000,0.000000,22,26,2,12,4,4,0,4,8,0,infinity,1009.430000,322.115000,0.000000,true
4800,240.000000,341.720000,278.570000,213.735000,0.000000,23,26,2,12,5,4,0,4,9,0,infinity,982.560000,320.265000,0.000000,true
5000,250.000000,327.740000,162.850000,109.735000,0.000000,25,26,2,12,5,4,0,4,9,0,infinity,968.500000,310.035000,0.000000,true
5200,260.000000,335.240000,184.850000,100.735000,0.000000,26,34,3,12,5,5,0,5,10,0,infinity,951.020000,300.265000,0.000000,true
5400,270.000000,307.740000,196.850000,91.735000,0.000000,28,34,3,12,6,5,1,6,12,0,infinity,930.680000,289.265000,0.000000,true
5600,280.000000,280.240000,208.850000,62.735000,0.000000,30,34,3,12,7,5,2,7,14,0,infinity,902.150000,270.265000,0.000000,true
5800,290.000000,297.740000,230.850000,73.735000,0.000000,31,34,3,12,7,6,2,8,15,0,infinity,879.060000,266.965000,0.000000,true
6000,300.000000,286.080000,207.850000,41.940000,0.000000,33,34,3,12,8,6,3,9,17,0,infinity,868.580000,247.670000,0.000000,true
6200,310.000000,248.580000,199.850000,22.940000,0.000000,35,42,4,12,9,6,4,10,19,0,infinity,845.990000,239.045000,0.000000,true
6400,320.000000,276.080000,221.850000,23.940000,0.000000,36,42,4,12,10,6,4,10,20,0,infinity,823.330000,224.590000,0.000000,true
6600,330.000000,283.580000,243.850000,14.940000,0.000000,37,42,4,12,10,6,5,11,21,0,infinity,799.620000,213.060000,0.000000,true
6800,340.000000,301.080000,275.850000,15.940000,0.000000,38,42,4,12,10,7,6,13,23,0,infinity,783.680000,198.330000,0.000000,true
7000,350.000000,318.580000,277.850000,26.940000,0.000000,39,42,4,12,11,7,6,13,24,0,infinity,761.100000,186.240000,0.000000,true
7200,360.000000,301.080000,279.850000,7.940000,0.000000,41,42,4,12,12,7,7,14,26,0,infinity,736.750000,175.580000,0.000000,true
7400,370.000000,318.580000,301.850000,8.940000,0.000000,42,42,4,12,12,8,8,16,28,0,infinity,720.610000,161.025000,0.000000,true
7600,380.000000,361.080000,323.850000,29.940000,0.000000,42,42,4,12,12,9,8,17,29,0,infinity,695.220000,151.740000,0.000000,true
7800,390.000000,413.580000,345.850000,40.940000,0.000000,42,42,4,12,12,9,8,17,29,0,infinity,673.600000,133.600000,0.000000,true
8000,400.000000,476.080000,377.850000,61.940000,0.000000,42,42,4,12,13,9,8,17,30,0,infinity,658.090000,124.810000,0.000000,true
8200,410.000000,538.580000,389.850000,72.940000,0.000000,42,42,4,12,13,9,8,17,30,0,infinity,632.150000,108.980000,0.000000,true
8400,420.000000,591.080000,414.000000,83.940000,0.000000,42,42,4,12,13,9,8,17,30,0,infinity,625.590000,99.595000,0.000000,true
8600,430.000000,653.580000,426.000000,94.940000,0.000000,42,42,4,12,13,9,8,17,30,0,infinity,600.000000,86.680000,0.000000,true
8800,440.000000,696.080000,448.000000,105.940000,0.000000,42,42,4,12,13,9,8,17,30,0,infinity,578.860000,73.060000,0.000000,true
9000,450.000000,758.580000,480.000000,126.940000,0.000000,42,42,4,12,13,9,8,17,30,0,infinity,567.410000,63.325000,0.000000,true
9200,460.000000,821.080000,492.000000,137.940000,0.000000,42,42,4,12,13,9,8,17,30,0,infinity,540.550000,43.435000,0.000000,true
9400,470.000000,873.580000,514.000000,158.940000,0.000000,42,42,4,12,13,9,8,17,30,0,infinity,523.060000,38.165000,0.000000,true
9600,480.000000,926.080000,536.000000,159.940000,0.000000,42,42,4,12,13,9,8,17,30,0,infinity,506.850000,20.080000,0.000000,true
9800,490.000000,968.580000,558.000000,180.940000,0.000000,42,42,4,12,13,9,8,17,30,0,infinity,483.070000,12.950000,0.000000,true
10000,500.000000,1021.080000,580.000000,191.940000,0.000000,42,42,4,12,13,9,8,17,30,0,infinity,466.640000,0.000000,0.000000,true
10200,510.000000,1083.580000,602.000000,206.000000,0.000000,42,42,4,12,13,9,8,17,30,0,infinity,436.420000,0.000000,0.000000,true
10400,520.000000,1136.080000,634.000000,207.000000,0.000000,42,42,4,12,13,9,8,17,30,0,infinity,416.630000,0.000000,0.000000,true
10600,530.000000,1218.580000,656.000000,208.000000,0.000000,42,42,4,12,13,9,8,17,30,0,infinity,389.440000,0.000000,0.000000,true
10800,540.000000,1281.080000,678.000000,209.000000,0.000000,42,42,4,12,13,9,8,17,30,0,infinity,360.900000,0.000000,0.000000,true
11000,550.000000,1363.580000,720.000000,210.000000,0.000000,42,42,4,12,13,9,8,17,30,0,infinity,341.950000,0.000000,0.000000,true
11200,560.000000,1446.080000,732.000000,211.000000,0.000000,42,42,4,12,13,9,8,17,30,0,infinity,311.810000,0.000000,0.000000,true
11400,570.000000,1518.580000,764.000000,212.000000,0.000000,42,42,4,12,13,9,8,17,30,0,infinity,285.860000,0.000000,0.000000,true
11600,580.000000,1581.080000,796.000000,213.000000,0.000000,42,42,4,12,13,9,8,17,30,0,infinity,266.570000,0.000000,0.000000,true
11800,590.000000,1653.580000,818.000000,214.000000,0.000000,42,42,4,12,13,9,8,17,30,0,infinity,236.850000,0.000000,0.000000,true
12000,600.000000,1726.080000,850.000000,215.000000,0.000000,42,42,4,12,13,9,8,17,30,0,infinity,208.300000,0.000000,0.000000,true
